SKU,Type,Size,Color,Options,Price Per Each,Category,Sub Category,Material,Title,Description,Images,Url
WAV600-White 13ft x 29in,,,White,"{'Color Selection': 'White', 'Size Selection': '13ft x 29in'}",32.16,Table Skirting,,,Snap Drape Wave Bow Tie Pleat Table Skirting 6 Per Case Price Per Each,"The uses for table skirting are almost limitless. Registration tables, buffet lines, meetings, weddings, banquets. Any function you plan that uses tables- plan to use skirting! Further coordinate your skirting presentations by using matching table toppers or throw covers.
A durable flame retardant treatment during fabric manufacturing, and all are machine washable/dryable for easy care. Visa™ Fabric. 100% Polyester.","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/snap%20drape/wav100.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/Snap Drape/wavecolorchart.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/Snap Drape/bowtiepleat.jpg']",https://www.ahscompany.com/Snap-Drape-Wave-Bow-Tie-Pleat-Table-Skirting-6-Per-Case-Price-Per-Each_p_27504.html
WAV600-White 13ft x 29in,,,White,"{'Color Selection': 'White', 'Size Selection': '17ft 6in x 29in (+$68.00)'}",32.16,Table Skirting,,,Snap Drape Wave Bow Tie Pleat Table Skirting 6 Per Case Price Per Each,"The uses for table skirting are almost limitless. Registration tables, buffet lines, meetings, weddings, banquets. Any function you plan that uses tables- plan to use skirting! Further coordinate your skirting presentations by using matching table toppers or throw covers.
A durable flame retardant treatment during fabric manufacturing, and all are machine washable/dryable for easy care. Visa™ Fabric. 100% Polyester.","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/snap%20drape/wav100.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/Snap Drape/wavecolorchart.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/Snap Drape/bowtiepleat.jpg']",https://www.ahscompany.com/Snap-Drape-Wave-Bow-Tie-Pleat-Table-Skirting-6-Per-Case-Price-Per-Each_p_27504.html
WAV600-White 13ft x 29in,,,White,"{'Color Selection': 'White', 'Size Selection': '21ft 6in x 29in (+$127.00)'}",32.16,Table Skirting,,,Snap Drape Wave Bow Tie Pleat Table Skirting 6 Per Case Price Per Each,"The uses for table skirting are almost limitless. Registration tables, buffet lines, meetings, weddings, banquets. Any function you plan that uses tables- plan to use skirting! Further coordinate your skirting presentations by using matching table toppers or throw covers.
A durable flame retardant treatment during fabric manufacturing, and all are machine washable/dryable for easy care. Visa™ Fabric. 100% Polyester.","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/snap%20drape/wav100.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/Snap Drape/wavecolorchart.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/Snap Drape/bowtiepleat.jpg']",https://www.ahscompany.com/Snap-Drape-Wave-Bow-Tie-Pleat-Table-Skirting-6-Per-Case-Price-Per-Each_p_27504.html
WAV600-Ivory 13ft x 29in,,,Ivory,"{'Color Selection': 'Ivory', 'Size Selection': '13ft x 29in'}",32.16,Table Skirting,,,Snap Drape Wave Bow Tie Pleat Table Skirting 6 Per Case Price Per Each,"The uses for table skirting are almost limitless. Registration tables, buffet lines, meetings, weddings, banquets. Any function you plan that uses tables- plan to use skirting! Further coordinate your skirting presentations by using matching table toppers or throw covers.
A durable flame retardant treatment during fabric manufacturing, and all are machine washable/dryable for easy care. Visa™ Fabric. 100% Polyester.","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/snap%20drape/wav100.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/Snap Drape/wavecolorchart.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/Snap Drape/bowtiepleat.jpg']",https://www.ahscompany.com/Snap-Drape-Wave-Bow-Tie-Pleat-Table-Skirting-6-Per-Case-Price-Per-Each_p_27504.html
WAV600-Ivory 13ft x 29in,,,Ivory,"{'Color Selection': 'Ivory', 'Size Selection': '17ft 6in x 29in (+$68.00)'}",32.16,Table Skirting,,,Snap Drape Wave Bow Tie Pleat Table Skirting 6 Per Case Price Per Each,"The uses for table skirting are almost limitless. Registration tables, buffet lines, meetings, weddings, banquets. Any function you plan that uses tables- plan to use skirting! Further coordinate your skirting presentations by using matching table toppers or throw covers.
A durable flame retardant treatment during fabric manufacturing, and all are machine washable/dryable for easy care. Visa™ Fabric. 100% Polyester.","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/snap%20drape/wav100.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/Snap Drape/wavecolorchart.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/Snap Drape/bowtiepleat.jpg']",https://www.ahscompany.com/Snap-Drape-Wave-Bow-Tie-Pleat-Table-Skirting-6-Per-Case-Price-Per-Each_p_27504.html
WAV600-Ivory 13ft x 29in,,,Ivory,"{'Color Selection': 'Ivory', 'Size Selection': '21ft 6in x 29in (+$127.00)'}",32.16,Table Skirting,,,Snap Drape Wave Bow Tie Pleat Table Skirting 6 Per Case Price Per Each,"The uses for table skirting are almost limitless. Registration tables, buffet lines, meetings, weddings, banquets. Any function you plan that uses tables- plan to use skirting! Further coordinate your skirting presentations by using matching table toppers or throw covers.
A durable flame retardant treatment during fabric manufacturing, and all are machine washable/dryable for easy care. Visa™ Fabric. 100% Polyester.","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/snap%20drape/wav100.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/Snap Drape/wavecolorchart.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/Snap Drape/bowtiepleat.jpg']",https://www.ahscompany.com/Snap-Drape-Wave-Bow-Tie-Pleat-Table-Skirting-6-Per-Case-Price-Per-Each_p_27504.html
WAV600-Sandalwood 13ft x 29in,,,Sandalwood,"{'Color Selection': 'Sandalwood', 'Size Selection': '13ft x 29in'}",32.16,Table Skirting,,,Snap Drape Wave Bow Tie Pleat Table Skirting 6 Per Case Price Per Each,"The uses for table skirting are almost limitless. Registration tables, buffet lines, meetings, weddings, banquets. Any function you plan that uses tables- plan to use skirting! Further coordinate your skirting presentations by using matching table toppers or throw covers.
A durable flame retardant treatment during fabric manufacturing, and all are machine washable/dryable for easy care. Visa™ Fabric. 100% Polyester.","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/snap%20drape/wav100.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/Snap Drape/wavecolorchart.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/Snap Drape/bowtiepleat.jpg']",https://www.ahscompany.com/Snap-Drape-Wave-Bow-Tie-Pleat-Table-Skirting-6-Per-Case-Price-Per-Each_p_27504.html
WAV600-Sandalwood 13ft x 29in,,,Sandalwood,"{'Color Selection': 'Sandalwood', 'Size Selection': '17ft 6in x 29in (+$68.00)'}",32.16,Table Skirting,,,Snap Drape Wave Bow Tie Pleat Table Skirting 6 Per Case Price Per Each,"The uses for table skirting are almost limitless. Registration tables, buffet lines, meetings, weddings, banquets. Any function you plan that uses tables- plan to use skirting! Further coordinate your skirting presentations by using matching table toppers or throw covers.
A durable flame retardant treatment during fabric manufacturing, and all are machine washable/dryable for easy care. Visa™ Fabric. 100% Polyester.","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/snap%20drape/wav100.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/Snap Drape/wavecolorchart.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/Snap Drape/bowtiepleat.jpg']",https://www.ahscompany.com/Snap-Drape-Wave-Bow-Tie-Pleat-Table-Skirting-6-Per-Case-Price-Per-Each_p_27504.html
WAV600-Sandalwood 13ft x 29in,,,Sandalwood,"{'Color Selection': 'Sandalwood', 'Size Selection': '21ft 6in x 29in (+$127.00)'}",32.16,Table Skirting,,,Snap Drape Wave Bow Tie Pleat Table Skirting 6 Per Case Price Per Each,"The uses for table skirting are almost limitless. Registration tables, buffet lines, meetings, weddings, banquets. Any function you plan that uses tables- plan to use skirting! Further coordinate your skirting presentations by using matching table toppers or throw covers.
A durable flame retardant treatment during fabric manufacturing, and all are machine washable/dryable for easy care. Visa™ Fabric. 100% Polyester.","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/snap%20drape/wav100.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/Snap Drape/wavecolorchart.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/Snap Drape/bowtiepleat.jpg']",https://www.ahscompany.com/Snap-Drape-Wave-Bow-Tie-Pleat-Table-Skirting-6-Per-Case-Price-Per-Each_p_27504.html
WAV600-Sandalwood 13ft x 29in,,,Sandalwood,"{'Color Selection': 'Sandalwood', 'Size Selection': '13ft x 29in'}",32.16,Table Skirting,,,Snap Drape Wave Bow Tie Pleat Table Skirting 6 Per Case Price Per Each,"The uses for table skirting are almost limitless. Registration tables, buffet lines, meetings, weddings, banquets. Any function you plan that uses tables- plan to use skirting! Further coordinate your skirting presentations by using matching table toppers or throw covers.
A durable flame retardant treatment during fabric manufacturing, and all are machine washable/dryable for easy care. Visa™ Fabric. 100% Polyester.","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/snap%20drape/wav100.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/Snap Drape/wavecolorchart.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/Snap Drape/bowtiepleat.jpg']",https://www.ahscompany.com/Snap-Drape-Wave-Bow-Tie-Pleat-Table-Skirting-6-Per-Case-Price-Per-Each_p_27504.html
WAV600-Sandalwood 13ft x 29in,,,Sandalwood,"{'Color Selection': 'Sandalwood', 'Size Selection': '17ft 6in x 29in (+$68.00)'}",32.16,Table Skirting,,,Snap Drape Wave Bow Tie Pleat Table Skirting 6 Per Case Price Per Each,"The uses for table skirting are almost limitless. Registration tables, buffet lines, meetings, weddings, banquets. Any function you plan that uses tables- plan to use skirting! Further coordinate your skirting presentations by using matching table toppers or throw covers.
A durable flame retardant treatment during fabric manufacturing, and all are machine washable/dryable for easy care. Visa™ Fabric. 100% Polyester.","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/snap%20drape/wav100.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/Snap Drape/wavecolorchart.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/Snap Drape/bowtiepleat.jpg']",https://www.ahscompany.com/Snap-Drape-Wave-Bow-Tie-Pleat-Table-Skirting-6-Per-Case-Price-Per-Each_p_27504.html
WAV600-Sandalwood 13ft x 29in,,,Sandalwood,"{'Color Selection': 'Sandalwood', 'Size Selection': '21ft 6in x 29in (+$127.00)'}",32.16,Table Skirting,,,Snap Drape Wave Bow Tie Pleat Table Skirting 6 Per Case Price Per Each,"The uses for table skirting are almost limitless. Registration tables, buffet lines, meetings, weddings, banquets. Any function you plan that uses tables- plan to use skirting! Further coordinate your skirting presentations by using matching table toppers or throw covers.
A durable flame retardant treatment during fabric manufacturing, and all are machine washable/dryable for easy care. Visa™ Fabric. 100% Polyester.","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/snap%20drape/wav100.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/Snap Drape/wavecolorchart.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/Snap Drape/bowtiepleat.jpg']",https://www.ahscompany.com/Snap-Drape-Wave-Bow-Tie-Pleat-Table-Skirting-6-Per-Case-Price-Per-Each_p_27504.html
WAV600-Celery 13ft x 29in,,,Celery,"{'Color Selection': 'Celery', 'Size Selection': '13ft x 29in'}",32.16,Table Skirting,,,Snap Drape Wave Bow Tie Pleat Table Skirting 6 Per Case Price Per Each,"The uses for table skirting are almost limitless. Registration tables, buffet lines, meetings, weddings, banquets. Any function you plan that uses tables- plan to use skirting! Further coordinate your skirting presentations by using matching table toppers or throw covers.
A durable flame retardant treatment during fabric manufacturing, and all are machine washable/dryable for easy care. Visa™ Fabric. 100% Polyester.","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/snap%20drape/wav100.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/Snap Drape/wavecolorchart.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/Snap Drape/bowtiepleat.jpg']",https://www.ahscompany.com/Snap-Drape-Wave-Bow-Tie-Pleat-Table-Skirting-6-Per-Case-Price-Per-Each_p_27504.html
