SKU,Type,Size,Color,Options,Price Per Each,Category,Sub Category,Material,Title,Description,Images,Url
05520-1,,15x35,,{},12.0,Type,Rubber Bath Mats,,Slip-X Bubble Bath Mat w/ Microban 15x35 Clear 4 Per Case Price Per Case,"This Simply Stylish Mat Gently Soothes Away Stress With Slightly Raised Bubbles
Made Of Durable, High-Quality Vinyl
Adheres To The Tub With Suction Cups
Machine Washable For Years Of Use
15""W X 35""L
The Bubble Bath Mat Features Microban Antimicrobial Product Protection
Microban Helps Protect Against The Growth Of Stain- And Odor-Causing Mold, And Mildew On The Bath Mat Surface
The Antimicrobial Effects Will Not Fade With Time, You Can Machine Wash The Mat Regularly Without Losing The Microban Antimicrobial Protection Benefits","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/venturi/05520-4.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/venturi/05520-4_1.jpg']",https://www.ahscompany.com/Slip-X-Bubble-Bath-Mat-w-Microban-15x35-Clear-4-Per-Case-Price-Per-Case_p_22371.html
05413-1,PVC Bath Mats,23 In,,{},12.0,PVC Bath Mats,Round Shower Mats,,"Slip-X Round Shower Mat 23"" Clear 4 Per Case Price Per Case","Perfect For Reliable Slip Protection In The Shower
Adheres To The Shower Floor With Suction Cups
Made Of Phthalate-Compliant
PVC
Machine Washable For Years Of Use
Intended For Non-Textured Surfaces
23 Inches In Diameter","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/venturi/05413-4.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/venturi/05413-4_1.jpg']",https://www.ahscompany.com/Slip-X-Round-Shower-Mat-23-Clear-4-Per-Case-Price-Per-Case_p_22369.html
06601-1,Rubber Bath Mats,18x36,,{},14.25,Brand,Slip-X,,Slip-X Extra Long Rubber Bath Safety Mat w/ Microban 18x36 White 4 Per Case Price Per Case,"High-Quality, Washable Rubber Mat w/ Suction Cups
Natural Rubber Less Likely To Fade, Crack Or Tear
Featuring Proven Microban Anti-Microbial Protection
Massaging Nodules Comfort Tired Feet
18""W x 36""L",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/venturi/06601extralong.jpg'],https://www.ahscompany.com/Slip-X-Extra-Long-Rubber-Bath-Safety-Mat-w-Microban-18x36-White-4-Per-Case-Price-Per-Case_p_29690.html
06501-1,Rubber Bath Mats,15x27,White,{'Color Selection': 'White'},12.75,Brand,Slip-X,,Slip-X Large Rubber Bath Safety Mat w/ Microban 15x27 White or Gray 4 Per Case Price Per Case,"High-Quality, Washable Rubber Mat w/ Suction Cups
Natural Rubber Less Likely To Fade, Crack Or Tear
Featuring Proven Microban Anti-Microbial Protection
Massaging Nodules Comfort Tired Feet
White or Gray
15""W x 27""L","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/venturi/06501slipx.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/venturi/06521-1grayslip.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/venturi/06501-1slipxx.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/venturi/06501-1alt223.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/venturi/06521-1grayback.jpg']",https://www.ahscompany.com/Slip-X-Large-Rubber-Bath-Safety-Mat-w-Microban-15x27-White-or-Gray-4-Per-Case-Price-Per-Case_p_29688.html
06521-1,Rubber Bath Mats,15x27,Gray,{'Color Selection': 'Gray'},12.75,Brand,Slip-X,,Slip-X Large Rubber Bath Safety Mat w/ Microban 15x27 White or Gray 4 Per Case Price Per Case,"High-Quality, Washable Rubber Mat w/ Suction Cups
Natural Rubber Less Likely To Fade, Crack Or Tear
Featuring Proven Microban Anti-Microbial Protection
Massaging Nodules Comfort Tired Feet
White or Gray
15""W x 27""L","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/venturi/06501slipx.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/venturi/06521-1grayslip.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/venturi/06501-1slipxx.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/venturi/06501-1alt223.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/venturi/06521-1grayback.jpg']",https://www.ahscompany.com/Slip-X-Large-Rubber-Bath-Safety-Mat-w-Microban-15x27-White-or-Gray-4-Per-Case-Price-Per-Case_p_29688.html
05522-1,,15x35,,{},12.0,Type,Rubber Bath Mats,,Slip-X Bubble Bath Mat w/ Microban 15x35 Blue 4 Per Case Price Per Case,"This Simply Stylish Mat Gently Soothes Away Stress With Slightly Raised Bubbles
Made Of Durable, High-Quality Vinyl
Adheres To The Tub With Suction Cups
Machine Washable For Years Of Use
15""W X 35""L
The Bubble Bath Mat Features Microban Antimicrobial Product Protection
Microban Helps Protect Against The Growth Of Stain- And Odor-Causing Mold, And Mildew On The Bath Mat Surface
The Antimicrobial Effects Will Not Fade With Time, You Can Machine Wash The Mat Regularly Without Losing The Microban Antimicrobial Protection Benefits","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/venturi/05522-4.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/Venturi/05522-4_1.jpg']",https://www.ahscompany.com/Slip-X-Bubble-Bath-Mat-w-Microban-15x35-Blue-4-Per-Case-Price-Per-Case_p_22622.html
06321-1,Rubber Bath Mats,21x21,,{},12.0,Brand,Slip-X,,Slip-X Square Rubber Bath Safety Mat w/ Microban 21x21 Light Gray 4 Per Case Price Per Case,"High-Quality, Durable Natural Rubber Mat w/ Suction Cups
Conveniently Shaped And Sized For Shower Stalls
Higher Rubber Content % Than The Competition
Features Microban Product Protection And Is Machine Washable
21""W x 21""L","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/venturi/06321-1slipx1.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/venturi/06321-1slipx2.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/venturi/06321-1slipx3.jpg']",https://www.ahscompany.com/Slip-X-Square-Rubber-Bath-Safety-Mat-w-Microban-21x21-Light-Gray-4-Per-Case-Price-Per-Case_p_29994.html
06381-1,Rubber Bath Mats,21x21,,{},12.0,Brand,Slip-X,,Slip-X Square Rubber Bath Safety Mat w/ Microban 21x21 Tan 4 Per Case Price Per Case,"High-Quality, Durable Natural Rubber Mat w/ Suction Cups
Conveniently Shaped And Sized For Shower Stalls
Higher Rubber Content % Than The Competition
Features Microban Product Protection And Is Machine Washable
21""W x 21""L","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/venturi/06381-1slipx2.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/venturi/06381-1slipx1.jpg']",https://www.ahscompany.com/Slip-X-Square-Rubber-Bath-Safety-Mat-w-Microban-21x21-Tan-4-Per-Case-Price-Per-Case_p_29995.html
06771-1,PVC Bath Mats,17x30,,{},12.75,PVC Bath Mats,Burst of Bubbles Bath Mats,,Slip-X Burst of Bubbles Bath Mat 17x30 Blue 4 Per Case Price Per Case,"Variable Thickness Design Creates A Unique Visual Effect
Wide Variety Of Both Bold And Subtle Color Choices
80+ Suction Cups Provide Reliable Slip Resistance
Machine Washable
Made Of Phthalate-Compliant PVC
For Use On Non-Textured Surfaces Only
17""W X 30""L","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/venturi/06771-4.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/venturi/06771-4_1.jpg']",https://www.ahscompany.com/Slip-X-Burst-of-Bubbles-Bath-Mat-17x30-Blue-4-Per-Case-Price-Per-Case_p_26242.html
06401-1,Rubber Bath Mats,14x22,,{},10.25,Brand,Slip-X,,Slip-X Medium Rubber Bath Safety Mat w/ Microban 14x22 White 4 Per Case Price Per Case,"High-Quality, Washable Rubber Mat w/ Suction Cups
Natural Rubber Less Likely To Fade, Crack Or Tear
Featuring Proven Microban Anti-Microbial Protection
Massaging Nodules Comfort Tired Feet
14""W x 22""L","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/venturi/06401-1slipx.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/venturi/06401-1slipxx.jpg']",https://www.ahscompany.com/Slip-X-Medium-Rubber-Bath-Safety-Mat-w-Microban-14x22-White-4-Per-Case-Price-Per-Case_p_29687.html
06301-1,Rubber Bath Mats,21x21,,{},12.0,Brand,Slip-X,,Slip-X Square Rubber Bath Safety Mat w/ Microban 21x21 White 4 Per Case Price Per Case,"High-Quality, Durable Natural Rubber Mat w/ Suction Cups
Conveniently Shaped And Sized For Shower Stalls
Higher Rubber Content % Than The Competition
Features Microban Product Protection And Is Machine Washable
21""W x 21""L","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/venturi/06301-1slipx1.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/venturi/06301-1slipx2.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/venturi/06301-1slipx3.jpg']",https://www.ahscompany.com/Slip-X-Square-Rubber-Bath-Safety-Mat-w-Microban-21x21-White-4-Per-Case-Price-Per-Case_p_29993.html
06772-1,PVC Bath Mats,17x30,,{},12.75,PVC Bath Mats,Burst of Bubbles Bath Mats,,Slip-X Burst of Bubbles Bath Mat 17x30 Light Blue 4 Per Case Price Per Case,"Variable Thickness Design Creates A Unique Visual Effect
Wide Variety Of Both Bold And Subtle Color Choices
80+ Suction Cups Provide Reliable Slip Resistance
Machine Washable
Made Of Phthalate-Compliant PVC
For Use On Non-Textured Surfaces Only
17""W X 30""L","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/venturi/06772-4.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/venturi/06772-4_1.jpg']",https://www.ahscompany.com/Slip-X-Burst-of-Bubbles-Bath-Mat-17x30-Light-Blue-4-Per-Case-Price-Per-Case_p_26243.html
06768-1,PVC Bath Mats,17x30,,{},12.75,PVC Bath Mats,Burst of Bubbles Bath Mats,,Slip-X Burst of Bubbles Bath Mat 17x30 White Pearl 4 Per Case Price Per Case,"Variable Thickness Design Creates A Unique Visual Effect
Wide Variety Of Both Bold And Subtle Color Choices
80+ Suction Cups Provide Reliable Slip Resistance
Machine Washable
Made Of Phthalate-Compliant PVC
For Use On Non-Textured Surfaces Only
17""W X 30""L","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/venturi/06768-1slip1.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/venturi/06768-1slip2.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/venturi/06768-1slipx4.jpg']",https://www.ahscompany.com/Slip-X-Burst-of-Bubbles-Bath-Mat-17x30-White-Pearl-4-Per-Case-Price-Per-Case_p_29992.html
05715-1,PVC Bath Mats,16x39,,{},15.75,PVC Bath Mats,Extra Long Bath Mats,,Slip-X Extra Long Bath Mat 16x39 Translucent Black 4 Per Case Price Per Case,"30% More Coverage Than The Average Bath Mat
Reliable Slip Protection, Using Suction Cups, For The Full Length Of Your Tub
Works On Almost Any Non-Textured Tub Surface
Cushioned, Comfortable Feel Underfoot
Made Of Phthalate-Compliant PVC
Excellent Drainage
Machine Washable For Years Of Use
16""W X 39""L","['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/venturi/05715-4.jpg', 'https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/venturi/05715-4_1.jpg']",https://www.ahscompany.com/Slip-X-Extra-Long-Bath-Mat-16x39-Translucent-Black-4-Per-Case-Price-Per-Case_p_26233.html
